COOPID, YEAR, MONTH, DAY,precipitation,Date
88758,2021,7,29,0.00001,7/29/2021
88758,2021,7,30,0,7/30/2021
88758,2021,7,31,0,7/31/2021
88758,2021,8,1,0,8/1/2021
88758,2021,8,2,0.26,8/2/2021
88758,2021,8,3,0.01,8/3/2021
88758,2021,8,4,0,8/4/2021
88758,2021,8,5,0.13,8/5/2021
88758,2021,8,6,0.00001,8/6/2021
88758,2021,8,7,0.11,8/7/2021
88758,2021,8,8,0,8/8/2021
88758,2021,8,9,0,8/9/2021
88758,2021,8,10,0.13,8/10/2021
88758,2021,8,11,0.08,8/11/2021
88758,2021,8,12,0.01,8/12/2021
88758,2021,8,13,0,8/13/2021
88758,2021,8,14,0.01,8/14/2021
88758,2021,8,15,0.02,8/15/2021
88758,2021,8,16,2.28,8/16/2021
88758,2021,8,17,0,8/17/2021
88758,2021,8,18,0.02,8/18/2021
88758,2021,8,19,0,8/19/2021
88758,2021,8,20,0,8/20/2021
88758,2021,8,21,0.24,8/21/2021
88758,2021,8,22,0.03,8/22/2021
88758,2021,8,23,0.19,8/23/2021
88758,2021,8,24,0.00001,8/24/2021
88758,2021,8,25,0.04,8/25/2021
88758,2021,8,26,0.01,8/26/2021
88758,2021,8,27,0.99,8/27/2021
88758,2021,8,28,0.29,8/28/2021
88758,2021,8,29,0,8/29/2021
88758,2021,8,30,0.01,8/30/2021
88758,2021,8,31,0.69,8/31/2021
88758,2021,9,1,0.82,9/1/2021
88758,2021,9,2,0,9/2/2021
88758,2021,9,3,0,9/3/2021
88758,2021,9,4,0,9/4/2021
88758,2021,9,5,0,9/5/2021
88758,2021,9,6,0,9/6/2021
88758,2021,9,7,0.25,9/7/2021
88758,2021,9,8,2.8,9/8/2021
88758,2021,9,9,0.33,9/9/2021
88758,2021,9,10,0,9/10/2021
88758,2021,9,11,0.41,9/11/2021
88758,2021,9,12,0.00001,9/12/2021
88758,2021,9,13,0,9/13/2021
88758,2021,9,14,0.02,9/14/2021
88758,2021,9,15,1.02,9/15/2021
88758,2021,9,16,0.22,9/16/2021
88758,2021,9,17,0.00001,9/17/2021
88758,2021,9,18,0.86,9/18/2021
88758,2021,9,19,0.1,9/19/2021
88758,2021,9,20,0.01,9/20/2021
88758,2021,9,21,1.42,9/21/2021
88758,2021,9,22,0.00001,9/22/2021
88758,2021,9,23,0,9/23/2021
88758,2021,9,24,0,9/24/2021
88758,2021,9,25,0,9/25/2021
88758,2021,9,26,0,9/26/2021
88758,2021,9,27,0,9/27/2021
88758,2021,9,28,0,9/28/2021
88758,2021,9,29,0,9/29/2021
88758,2021,9,30,0,9/30/2021
88758,2021,10,1,0,10/1/2021
88758,2021,10,2,0,10/2/2021
88758,2021,10,3,0.17,10/3/2021
88758,2021,10,4,0.52,10/4/2021
88758,2021,10,5,0.64,10/5/2021
88758,2021,10,6,1.74,10/6/2021
88758,2021,10,7,0.01,10/7/2021
88758,2021,10,8,0.14,10/8/2021
88758,2021,10,9,0,10/9/2021
88758,2021,10,10,0,10/10/2021
88758,2021,10,11,0,10/11/2021
88758,2021,10,12,0,10/12/2021
88758,2021,10,13,0,10/13/2021
88758,2021,10,14,0,10/14/2021
88758,2021,10,15,0,10/15/2021
88758,2021,10,16,0,10/16/2021
88758,2021,10,17,0,10/17/2021
88758,2021,10,18,0,10/18/2021
88758,2021,10,19,0,10/19/2021
88758,2021,10,20,0,10/20/2021
88758,2021,10,21,0,10/21/2021
88758,2021,10,22,0,10/22/2021
88758,2021,10,23,0,10/23/2021
88758,2021,10,24,0.3,10/24/2021
88758,2021,10,25,0.04,10/25/2021
88758,2021,10,26,0,10/26/2021
88758,2021,10,27,0,10/27/2021
88758,2021,10,28,1.73,10/28/2021
88758,2021,10,29,0.00001,10/29/2021
88758,2021,10,30,0,10/30/2021
88758,2021,10,31,0,10/31/2021
88758,2021,11,1,0,11/1/2021
88758,2021,11,2,0,11/2/2021
88758,2021,11,3,0,11/3/2021
88758,2021,11,4,0,11/4/2021
88758,2021,11,5,0.58,11/5/2021
88758,2021,11,6,0.00001,11/6/2021
88758,2021,11,7,0,11/7/2021
88758,2021,11,8,0,11/8/2021
88758,2021,11,9,0,11/9/2021
88758,2021,11,10,0,11/10/2021
88758,2021,11,11,0,11/11/2021
88758,2021,11,12,0,11/12/2021
88758,2021,11,13,0,11/13/2021
88758,2021,11,14,0,11/14/2021
88758,2021,11,15,0,11/15/2021
88758,2021,11,16,0,11/16/2021
